SampleName	ACTA1	ACTB	HPRT1	LDAH	MRPS27	EEF1	HMBS	MRPS30	RPL5	TFRC	HSF3	HSP90	HSP70	groups
PELO9MS	15.82	24.09	26.83	17.53	25.72	22.70	26.70	27.54	20.07	29.97	26.81	18.61	18.67	PELOCO
PELO8MS	17.23	27.18	27.04	20.09	27.36	22.95	22.78	29.08	20.84	35.80	30.25	21.34	25.95	PELOCO
PELO5FS	15.94	24.79	26.00	18.32	25.93	22.59	22.75	27.27	20.33	30.62	25.77	17.92	17.01	PELOCO
PELO4MS	13.94	22.18	24.82	16.49	24.75	20.41	25.71	25.95	19.45	29.49	26.99	19.87	20.94	PELOCO
PELO3FS	14.63	23.47	25.83	17.09	25.94	20.93	21.28	27.11	19.53	28.76	26.41	17.86	16.47	PELOCO
PELO2FS	15.26	23.72	25.44	17.58	26.43	21.71	24.10	27.87	20.16	29.56	26.30	19.51	19.18	PELOCO
PELO20FC	15.09	23.26	25.51	17.21	26.28	21.86	25.76	27.55	19.97	27.53	26.72	20.21	23.12	PELOCO
PELO19FC	15.44	23.16	25.36	17.44	25.93	21.58	25.42	27.50	19.65	27.77	26.23	21.19	23.73	PELOCO
PELO18FC	15.64	23.39	25.97	17.83	26.70	22.49	25.89	27.79	20.35	27.83	26.87	22.15	23.85	PELOCO
PELO17FC	16.42	23.83	26.03	18.07	26.52	23.07	24.92	28.27	20.75	28.16	26.89	22.12	25.03	PELOCO
PELO12MC	16.84	25.52	26.57	18.95	26.16	23.93	26.67	27.38	20.83	30.33	27.53	23.08	26.35	PELOCO
PELO11MC	15.74	23.77	25.69	17.92	26.45	22.90	25.88	27.76	20.98	32.78	27.55	22.24	25.03	PELOCO
COBB9FS	21.54	20.96	27.97	22.38	26.54	19.23	25.60	27.64	20.59	27.04	25.82	19.32	18.89	COBB
COBB8FS	13.80	21.41	24.33	16.56	25.15	20.24	24.35	26.40	18.90	27.94	25.88	19.02	18.29	COBB
COBB5MS	13.00	21.62	23.99	15.49	23.94	19.90	24.31	24.94	18.71	27.41	24.83	19.08	18.03	COBB
COBB3MS	13.17	21.52	24.27	15.73	24.20	20.10	24.05	24.88	18.91	27.73	24.85	18.61	17.47	COBB
COBB2MS	16.22	24.07	27.56	18.32	25.99	21.64	25.81	27.38	20.34	30.16	24.82	19.94	18.56	COBB
COBB20FC	13.68	20.78	23.92	15.92	24.89	20.28	24.04	26.42	18.73	26.04	28.01	21.01	20.28	COBB
COBB19FC	13.34	21.06	24.13	15.71	28.91	24.09	24.98	29.88	22.66	29.97	24.38	20.93	20.70	COBB
COBB16FC	14.53	22.26	25.20	17.21	25.71	20.85	24.79	27.15	19.29	27.21	28.79	24.96	24.97	COBB
COBB15MC	12.23	20.31	23.21	14.83	23.09	19.51	23.89	24.27	17.89	26.85	25.69	21.91	21.72	COBB
COBB14MC	15.00	21.68	25.38	18.03	25.06	21.07	24.38	27.11	19.14	27.86	23.39	20.71	19.82	COBB
COBB11MC	13.83	21.60	24.64	16.59	24.27	20.53	24.33	25.57	18.97	28.33	25.95	21.82	22.19	COBB
COBB10FS	14.28	22.78	24.89	16.09	25.57	20.80	24.71	26.94	19.35	29.97	24.71	21.37	20.52	COBB
CANE9MS	14.46	22.87	25.00	16.76	25.29	21.35	24.99	26.55	19.63	28.61	24.28	18.13	18.50	CANELUDA
CANE7MS	13.98	23.35	24.94	16.45	25.08	21.48	24.96	25.96	19.53	28.65	24.82	18.92	19.49	CANELUDA
CANE6MS	16.80	26.48	25.70	19.66	25.95	22.66	26.07	27.36	20.04	30.80	29.10	19.84	23.27	CANELUDA
CANE5FS	14.97	22.74	24.89	18.84	24.80	21.18	25.64	25.91	18.39	26.21	25.45	17.93	19.91	CANELUDA
CANE4FS	15.53	24.03	25.67	17.91	26.00	22.53	25.98	28.44	19.85	29.19	26.49	19.04	18.84	CANELUDA
CANE1FS	13.91	22.35	24.66	16.03	25.87	20.83	24.51	26.77	19.34	29.75	26.13	18.08	16.62	CANELUDA
CANE19MC	12.88	20.49	23.63	15.40	23.65	20.47	23.82	24.59	18.82	25.50	23.97	19.61	20.97	CANELUDA
CANE18MC	15.31	23.01	25.15	17.84	25.16	21.67	25.38	26.53	19.71	28.85	26.22	20.98	23.97	CANELUDA
CANE16MC	16.07	23.02	25.73	17.74	25.02	21.06	25.33	26.39	19.95	29.23	26.73	21.82	24.16	CANELUDA
CANE15FC	15.70	22.82	25.60	17.54	26.00	21.51	25.85	27.36	19.91	27.47	26.08	21.32	23.19	CANELUDA
CANE13FC	14.82	22.10	24.29	16.95	24.93	21.02	24.96	26.34	19.45	25.64	25.53	20.91	23.24	CANELUDA
CANE12FC	13.85	22.37	23.97	15.83	24.95	21.15	24.82	26.23	19.16	29.55	25.41	20.45	22.70	CANELUDA
