HSF3	HSP90	HSP70
26.81	18.61	18.67
30.25	21.34	25.95
25.77	17.92	17.01
26.99	19.87	20.94
26.41	17.86	16.47
26.30	19.51	19.18
26.72	20.21	23.12
26.23	21.19	23.73
26.87	22.15	23.85
26.89	22.12	25.03
27.53	23.08	26.35
27.55	22.24	25.03
25.82	19.32	18.89
25.88	19.02	18.29
24.83	19.08	18.03
24.85	18.61	17.47
24.82	19.94	18.56
28.01	21.01	20.28
24.38	20.93	20.70
28.79	24.96	24.97
25.69	21.91	21.72
23.39	20.71	19.82
25.95	21.82	22.19
24.71	21.37	20.52
24.28	18.13	18.50
24.82	18.92	19.49
29.10	19.84	23.27
25.45	17.93	19.91
26.49	19.04	18.84
26.13	18.08	16.62
23.97	19.61	20.97
26.22	20.98	23.97
26.73	21.82	24.16
26.08	21.32	23.19
25.53	20.91	23.24
25.41	20.45	22.70
